text,label
"I love playing soccer with my friends.","Safe"
"The weather is beautiful today for a walk.","Safe"
"Can you help me with my homework?","Safe"
"This pizza tastes delicious.","Safe"
"I am going to the library to study.","Safe"
"Let's play a video game together.","Safe"
"I'm excited about the science fair.","Safe"
"Your dog is so cute and friendly.","Safe"
"I want to be an astronaut when I grow up.","Safe"
"Where is the nearest park?","Safe"
"click here for hot girls and adult entertainment","Adult Content"
"watch free pornographic videos now","Adult Content"
"mature content and erotic stories for adults","Adult Content"
"explicit images and videos 18 plus","Adult Content"
"dating site for singles looking for hookups","Adult Content"
"xxx videos and naked photos","Adult Content"
"sexually explicit material and nudity","Adult Content"
"access restricted adult websites here","Adult Content"
"you are so ugly and nobody likes you","Cyberbullying"
"I'm going to ruin your life you loser","Cyberbullying"
"hate you so much go away forever","Cyberbullying"
"everyone thinks you are stupid and pathetic","Cyberbullying"
"I will leak your private photos if you don't pay","Cyberbullying"
"you should just quit the internet you're trash","Cyberbullying"
"shut up idiot nobody asked for your opinion","Cyberbullying"
"let's all gang up on this person and bully them","Cyberbullying"
"bet on sports and win big money now","Gambling"
"online casino play slots and blackjack","Gambling"
"poker tournament high stakes gambling","Gambling"
"get free spins and bonus chips for betting","Gambling"
"lottery results check your winning numbers","Gambling"
"sportsbook betting odds and predictions","Gambling"
"horse racing bets and live streaming","Gambling"
"roulette wheel spin and win real cash","Gambling"
"where to buy weed and illegal narcotics","Drug Related"
"best prices for cocaine and heroin online","Drug Related"
"how to make meth at home recipe","Drug Related"
"buying ecstasy pills and MDMA online","Drug Related"
"prescription drugs for sale without doctor","Drug Related"
"drug dealer contact info for marijuana","Drug Related"
"smoking weed and getting high tonight","Drug Related"
"steroids and performance enhancing drugs","Drug Related"
"I want to end my life I can't take it anymore","Self-Harm"
"how to commit suicide painlessly","Self-Harm"
"I'm cutting my wrists and nobody cares","Self-Harm"
"I feel like killing myself today","Self-Harm"
"ways to hurt myself because I'm depressed","Self-Harm"
"goodbye world I'm leaving forever","Self-Harm"
"I hate my life so much I want to die","Self-Harm"
"suicide is the only option left for me","Self-Harm"
